değişken,güven_düzeyi,n,ortalama,std,SE,Z_kritik,formül_alt,formül_üst,scipy_alt,scipy_üst
sleep_hours,%90,3000,6.470400000000001,1.4958775762879395,0.027310863059968646,1.645,6.425473630266352,6.515326369733649,6.425477627840636,6.515322372159365
sleep_hours,%95,3000,6.470400000000001,1.4958775762879395,0.027310863059968646,1.96,6.416870708402462,6.523929291597539,6.416871692015756,6.523928307984245
sleep_hours,%99,3000,6.470400000000001,1.4958775762879395,0.027310863059968646,2.576,6.400047216757521,6.54075278324248,6.4000518786249225,6.540748121375079
bmi,%90,3000,25.1755,5.004746971367864,0.0913737603607947,1.645,25.025190164206492,25.325809835793507,25.025203538862353,25.325796461137646
bmi,%95,3000,25.1755,5.004746971367864,0.0913737603607947,1.96,24.99640742969284,25.354592570307158,24.99641072056085,25.35458927943915
bmi,%99,3000,25.1755,5.004746971367864,0.0913737603607947,2.576,24.940121193310592,25.410878806689407,24.94013679048721,25.41086320951279
